epoch,train_total_loss,train_data_loss,train_mono_loss,train_pde_loss,val_RMSE,val_R2,val_MAE
1,0.1336347907781601,0.07658819233377774,0.0,0.0028523299600540972,0.2580977882641983,-24.135086081897366,0.2541292970244949
2,0.07574635868271191,0.048257218673825264,0.0,0.0013744569926833112,0.20117783060264344,-14.271160876803096,0.19974150716721475
3,0.030734507056574028,0.022353611576060455,0.0,0.0004190447604438911,0.12902041464665615,-5.280998326116,0.12853035250225583
4,0.012827972260614237,0.005406335073833664,0.0,0.00037108186370460317,0.05570561375341199,-0.17087285652952833,0.04719968408614666
5,0.004877958873597284,0.0017427319932418566,0.0,0.00015676134413903733,0.025795979720011804,0.7489178350198427,0.023170075572288788
6,0.004165292911541958,0.0024787033131966987,0.0,8.432948038716859e-05,0.038446893926408675,0.44225674098622125,0.03730425050666741
7,0.0030871726533708474,0.001722149841953069,3.4127526295262478e-12,6.825114208671342e-05,0.028283926463544176,0.6981499793246766,0.025916125457566063
8,0.0011120034905616194,0.00044144047327184427,0.0,3.3528151258603124e-05,0.01127414840064302,0.9520399855504506,0.00920275028224464
9,0.0006477344189382469,0.0002713391052869459,0.0,1.8819764970127533e-05,0.009298807418075367,0.9673738132400599,0.007576329482568277
10,0.0006795733255178978,0.0003912174773480122,5.045539217910881e-12,1.4417791514157821e-05,0.009387172859203374,0.9667507815360502,0.007131539486549996
11,0.00041444040834903717,0.0002664618708270912,1.9401758122548443e-13,7.398927512743588e-06,0.008890654075027439,0.9701750835019664,0.006834437449773152
12,0.00025631528114899993,0.00015978599064207324,0.0,4.826464836090357e-06,0.010995504399179049,0.9543813819994534,0.009083039991490476
13,0.00023290022848717248,0.0001538473782905688,0.0,3.9526426007796545e-06,0.01103397139939319,0.9540616366077367,0.008977423380087089
14,0.0002162901898069928,0.0001568236002640333,0.0,2.9733296287304256e-06,0.008892548254223339,0.9701623735812003,0.0070017996403548095
15,0.00019332226171779135,0.00013602962038324526,0.0,2.8646322031515106e-06,0.007578970929277671,0.978326338136037,0.005953606050293725
16,0.00017200832614131892,0.00012790170876542106,0.0,2.2053307399498103e-06,0.007530787096481858,0.9786010457290193,0.005869806886793257
17,0.00016783274380334964,0.00013071182183921337,0.0,1.8560460451529555e-06,0.007538903537058109,0.9785548946604331,0.005845551286731755
18,0.0001621085248189047,0.0001264444860377504,0.0,1.7832018860038563e-06,0.007693574186812331,0.9776659181765825,0.006024033368170798
19,0.00015210196579573676,0.00012006681208731607,0.0,1.6017577687913824e-06,0.00797263258850159,0.9760163481071956,0.006252398630520245
20,0.00014944851136533543,0.00011948845713050105,0.0,1.498002707952158e-06,0.00801008100942763,0.9757905107214025,0.006284576278549057
